Date,Open,High,Low,Close,Volume,Change
2023-03-14,44,46,46,44,0,-10
2023-03-13,49,49,51,48,0,-6
2023-03-10,52,48,54,45,0,21
2023-03-10,52,48,54,45,0,21
2023-03-10,52,48,54,45,0,21
2023-03-09,43,41,41,41,0,2
2023-03-08,42,44,44,44,0,-2
2023-03-07,43,42,43,42,0,2
2023-03-06,42,43,43,41,0,-6
2023-03-03,44,45,46,45,0,-3
2023-03-03,44,45,46,45,0,-3
2023-03-03,44,45,46,45,0,-3
2023-03-02,46,47,47,47,0,0
2023-03-01,47,47,48,47,0,0
2023-02-28,46,48,48,46,0,-1
2023-02-27,47,47,47,47,0,-7
2023-02-24,51,51,51,51,0,0
2023-02-24,51,51,51,51,0,0
2023-02-24,51,51,51,51,0,0
2023-02-23,50,50,50,50,0,0
2023-02-22,50,50,50,50,0,4
2023-02-21,48,50,50,50,0,-1
2023-02-17,49,49,49,49,0,-5
2023-02-17,49,49,49,49,0,-5
2023-02-17,49,49,49,49,0,-5
2023-02-17,49,49,49,49,0,-5
2023-02-16,52,54,54,54,0,-4
2023-02-15,54,54,54,54,0,4
2023-02-14,52,52,52,52,0,1
2023-02-13,51,51,51,51,0,-4
2023-02-10,53,53,53,53,0,2
2023-02-10,53,53,53,53,0,2
2023-02-10,53,53,53,53,0,2
2023-02-09,52,52,52,52,0,-1
2023-02-08,53,53,53,53,0,-3
2023-02-07,55,57,57,55,0,-4
2023-02-03,57,58,59,57,0,1
2023-02-03,57,58,59,57,0,1
2023-02-06,58,58,58,58,0,0
2023-02-03,57,58,59,57,0,1
2023-02-02,57,57,57,56,0,-4
2023-02-01,59,57,58,57,0,3
2023-01-31,57,60,60,57,0,3
2023-01-27,55,53,53,53,0,1
2023-01-27,55,53,53,53,0,1
2023-01-27,55,53,53,53,0,1
2023-01-27,55,53,53,53,0,1
2023-01-26,54,56,56,56,0,-3
2023-01-25,56,57,57,56,0,-2
2023-01-24,58,58,58,58,0,-11
2023-01-23,66,65,65,64,0,-1
2023-01-20,66,66,66,66,0,10
2023-01-20,66,66,66,66,0,10
2023-01-20,66,66,66,66,0,10
2023-01-19,60,60,61,60,0,-1
2023-01-18,61,60,62,60,0,2
2023-01-17,60,65,65,54,0,-7
2023-01-13,64,66,66,62,0,-2
2023-01-13,64,66,66,62,0,-2
2023-01-13,64,66,66,62,0,-2
2023-01-13,64,66,66,62,0,-2
2023-01-12,66,69,69,67,0,2
2023-01-11,65,67,67,65,0,-6
2023-01-10,70,73,76,70,0,-5
2023-01-09,74,71,75,70,0,6
2023-01-06,69,72,76,68,0,-3
2023-01-06,69,72,76,68,0,-3
2023-01-06,69,72,76,68,0,-3
2023-01-05,72,72,72,72,0,11
2023-01-04,65,65,65,65,0,-10
2023-01-03,72,72,72,72,0,-5
2023-01-02,72,72,72,72,0,-6
2023-01-01,72,72,72,72,0,-7
2023-01-01,72,72,72,72,0,-7
